Campaign,Ad Group,Keyword,Match Type,Suggested Landing Page
AI Courses - Search,Prompt Engineering,prompt engineering course,Phrase,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,prompt engineering training,Phrase,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,prompt engineering certification,Phrase,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,prompt engineering course online,Phrase,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,prompt engineering for business,Phrase,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,affordable prompt engineering training,Broad,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,prompt engineering basics,Phrase,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,how to learn prompt engineering fast,Broad,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,[prompt engineering course],Exact,/courses/prompt-engineering-mastery
AI Courses - Search,Prompt Engineering,[prompt engineering certification],Exact,/courses/prompt-engineering-mastery
AI Courses - Search,ChatGPT Training,chatgpt course,Phrase,/courses/chatgpt-mastery
AI Courses - Search,ChatGPT Training,chatgpt for business,Phrase,/courses/chatgpt-mastery
AI Courses - Search,ChatGPT Training,advanced chatgpt course,Phrase,/courses/chatgpt-mastery
AI Courses - Search,ChatGPT Training,chatgpt certification,Phrase,/courses/chatgpt-mastery
AI Courses - Search,ChatGPT Training,advanced chatgpt prompts for professionals,Phrase,/courses/chatgpt-mastery
AI Courses - Search,ChatGPT Training,learn chatgpt for business,Broad,/courses/chatgpt-mastery
AI Courses - Search,ChatGPT Training,[chatgpt course],Exact,/courses/chatgpt-mastery
AI Courses - Search,ChatGPT Training,[chatgpt certification],Exact,/courses/chatgpt-mastery
AI Courses - Search,Business Automation,business automation course,Phrase,/courses/ai-tools-productivity
AI Courses - Search,Business Automation,workflow automation certification,Phrase,/courses/ai-tools-productivity
AI Courses - Search,Business Automation,ai productivity tools,Phrase,/courses/ai-tools-productivity
AI Courses - Search,Business Automation,[business automation course],Exact,/courses/ai-tools-productivity
AI Courses - Search,AI Upskilling & Certification,ai upskilling,Broad,/courses
AI Courses - Search,AI Upskilling & Certification,ai certification for beginners,Phrase,/courses/ai-for-beginners
AI Courses - Search,AI Upskilling & Certification,best ai courses for professionals,Phrase,/courses
AI Courses - Search,AI Upskilling & Certification,[ai certification for beginners],Exact,/courses/ai-for-beginners
